Term name	P-D Coefficient
serine-type endopeptidase inhibitor activity	0.000
guanylate cyclase inhibitor activity	0.000
receptor signaling protein tyrosine kinase inhibitor activity	0.000
transmembrane receptor protein tyrosine kinase inhibitor activity	0.000
protein kinase C inhibitor activity	0.000
calcium-dependent protein kinase inhibitor activity	0.000
alpha-amylase inhibitor activity	0.000
ribonuclease inhibitor activity	0.000
endoribonuclease inhibitor activity	0.000
ornithine decarboxylase inhibitor activity	0.000
dUTP pyrophosphatase inhibitor activity	0.000
chloride channel inhibitor activity	0.000
potassium channel inhibitor activity	0.000
inward rectifier potassium channel inhibitor activity	0.000
morphogen activity	0.000
electron transporter, transferring electrons from cytochrome b6/f complex of photosystem II activity	0.000
electron transporter, transferring electrons within cytochrome b6/f complex of photosystem II activity	0.000
electron transporter, transferring electrons within the noncyclic electron transport pathway of photosynthesis activity	0.000
electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity	0.000
electron transporter, transferring electrons within cytochrome c oxidase complex activity	0.000
electron transporter, transferring electrons within CoQH2-cytochrome c reductase complex activity	0.000
taurine binding	0.000
fatty acid derivative binding	0.000
beta-D-Gal-(1->4)-beta-D-GlcNAc-(1->3)-beta-D-Gal-(1->4)-D-Glc binding	0.000
amylopectin binding	0.000
N-acetylgalactosamine binding	0.000
galactoside binding	0.000
chitin binding	0.000
catecholamine binding	0.000
norepinephrine binding	0.000
epinephrine binding	0.000
flavanol binding	0.000
catechin binding	0.000
epigallocatechin 3-gallate binding	0.000
polychlorinated biphenyl binding	0.000
bacteriochlorophyll binding	0.000
bacteriochlorophyll c binding	0.000
dibutyl phthalate binding	0.000
diphenyl phthalate binding	0.000
DNA/RNA hybrid binding	0.000
DNA/RNA hybrid annealing activity	0.000
histone pre-mRNA DCP binding	0.000
pre-miRNA binding	0.000
primary miRNA binding	0.000
histone pre-mRNA stem-loop binding	0.000
pre-mRNA branch point binding	0.000
pre-mRNA 3'-splice site binding	0.000
pre-mRNA 5'-splice site binding	0.000
RNA stem-loop binding	0.000
piRNA binding	0.000
21U-RNA binding	0.000
misfolded RNA binding	0.000
ribonuclease P RNA binding	0.000
box H/ACA snoRNA binding	0.000
box C/D snoRNA binding	0.000
U3 snoRNA binding	0.000
LSU rRNA binding	0.000
rRNA primary transcript binding	0.000
5S rRNA binding	0.000
5S rRNA primary transcript binding	0.000
7SK snRNA binding	0.000
U7 snRNA binding	0.000
snRNA stem-loop binding	0.000
U12 snRNA binding	0.000
U11 snRNA binding	0.000
U6atac snRNA binding	0.000
U5 snRNA binding	0.000
U4atac snRNA binding	0.000
U2 snRNA binding	0.000
U1 snRNA binding	0.000
U6 snRNA 3'-end binding	0.000
translation release factor activity, codon specific	0.000
selenocysteine insertion sequence binding	0.000
iron-responsive element binding	0.000
uridine-rich cytoplasmic polyadenylylation element binding	0.000
poly(C) RNA binding	0.000
RNA strand-exchange activity	0.000
RNA strand annealing activity	0.000
supercoiled DNA binding	0.000
flap-structured DNA binding	0.000
5'-flap-structured DNA binding	0.000
3'-flap-structured DNA binding	0.000
triplex DNA binding	0.000
DNA end binding	0.000
random coil DNA binding	0.000
left-handed Z-DNA binding	0.000
guanine/guanine mispair binding	0.000
cytosine/thymine mispair binding	0.000
thymine/thymine mispair binding	0.000
cytosine/cytosine mispair binding	0.000
adenine/guanine mispair binding	0.000
adenine/adenine mispair binding	0.000
guanine/thymine mispair binding	0.000
adenine/cytosine mispair binding	0.000
dinucleotide insertion or deletion binding	0.000
dinucleotide repeat insertion binding	0.000
single base insertion or deletion binding	0.000
single thymine insertion binding	0.000
single guanine insertion binding	0.000
single cytosine insertion binding	0.000
single adenine insertion binding	0.000
double-stranded methylated DNA binding	0.000
tDNA binding	0.000
replication fork barrier binding	0.000
P-element binding	0.000
recombination hotspot binding	0.000
non-sequence-specific DNA binding, bending	0.000
sequence-specific DNA binding, bending	0.000
oxidized DNA binding	0.000
oxidized pyrimidine DNA binding	0.000
oxidized purine DNA binding	0.000
alkylated DNA binding	0.000
O6-alkylguanine-DNA binding	0.000
intermediate-density lipoprotein particle binding	0.000
chylomicron binding	0.000
very-low-density lipoprotein particle binding	0.000
high-density lipoprotein particle binding	0.000
lipoteichoic acid binding	0.000
nitric oxide binding	0.000
nitric oxide sensor activity	0.000
3 iron, 4 sulfur cluster binding	0.000
host cell extracellular matrix binding	0.000
water binding	0.000
ice binding	0.000
microfibril binding	0.000
prosthetic group binding	0.000
ACP phosphopantetheine attachment site binding	0.000
molybdopterin cofactor binding	0.000
tetrahydrobiopterin binding	0.000
tetrahydrodictyopterin binding	0.000
ubiquinone binding	0.000
ubiquinone-6 binding	0.000
iron-sulfur-molybdenum cofactor binding	0.000
calcium oxalate binding	0.000
hydroxyapatite binding	0.000
host cell surface binding	0.000
poly(3-hydroxyalkanoate) binding	0.000
amine binding	0.000
1-(4-iodo-2,5-dimethoxyphenyl)propan-2-amine binding	0.000
chitosan binding	0.000
proton binding	0.000
carbon monoxide binding	0.000
carbon monoxide sensor activity	0.000
histamine binding	0.000
serotonin binding	0.000
vanadium ion binding	0.000
cadmium ion binding	0.000
cadmium ion sensor activity	0.000
mercury ion binding	0.000
molybdenum ion binding	0.000
nickel cation binding	0.000
copper ion sensor activity	0.000
copper chaperone activity	0.000
superoxide dismutase copper chaperone activity	0.000
metal chelating activity	0.000
lead ion binding	0.000
alkali metal ion binding	0.000
lithium ion binding	0.000
sodium ion binding	0.000
potassium ion binding	0.000
dopamine binding	0.000
5-O-phosphono-alpha-D-ribofuranosyl diphosphate binding	0.000
hypochlorite binding	0.000
tungstate binding	0.000
flavonol binding	0.000
bicarbonate binding	0.000
ammonium ion binding	0.000
borate binding	0.000
alkanesulfonate binding	0.000
sulfate binding	0.000
thiosulfate binding	0.000
chondroitin sulfate binding	0.000
pyrroloquinoline quinone binding	0.000
coenzyme F420 binding	0.000
icosanoid binding	0.000
phthalate binding	0.000
sialic acid binding	0.000
salicylic acid binding	0.000
5(S)-hydroxyperoxy-6E,8Z,11Z,14Z-icosatetraenoic acid binding	0.000
ectoine binding	0.000
proline binding	0.000
L-DOPA binding	0.000
dihydrofolic acid binding	0.000
serine binding	0.000
glutamine binding	0.000
aspartate binding	0.000
3-sulfino-L-alanine binding	0.000
arginine binding	0.000
chloride ion binding	0.000
molybdate ion binding	0.000
pyridoxal phosphate binding	0.000
ribosomal large subunit binding	0.000
snoRNP binding	0.000
cytokinin binding	0.000
choriogonadotropin hormone binding	0.000
auxin binding	0.000
neurotransmitter binding	0.000
acetylcholine binding	0.000
ethanol binding	0.000
hydroxyectoine binding	0.000
choline binding	0.000
organic acid binding	0.000
vitamin B6 binding	0.000
pyridoxine binding	0.000
pyridoxamine binding	0.000
pyridoxal binding	0.000
thiamine binding	0.000
vitamin E binding	0.000
folic acid binding	0.000
flurbiprofen binding	0.000
dinitrosyl-iron complex binding	0.000
S-nitrosoglutathione binding	0.000
2-aminoethylphosphonate binding	0.000
dethiobiotin binding	0.000
methotrexate binding	0.000
lipoamide binding	0.000
neuropeptide binding	0.000
neuromedin U binding	0.000
beta-endorphin binding	0.000
adipokinetic hormone binding	0.000
thyrotropin-releasing hormone binding	0.000
gonadotropin-releasing hormone binding	0.000
corticotropin-releasing hormone binding	0.000
insulin binding	0.000
calcitonin binding	0.000
ER retention sequence binding	0.000
HDEL sequence binding	0.000
DDEL sequence binding	0.000
KDEL sequence binding	0.000
mitochondrion targeting sequence binding	0.000
endoplasmic reticulum signal peptide binding	0.000
chloroplast targeting sequence binding	0.000
vacuolar sorting signal binding	0.000
amino-terminal vacuolar sorting propeptide binding	0.000
urea binding	0.000
phosphopantetheine binding	0.000
biotin binding	0.000
pigment binding	0.000
oligosaccharide binding	0.000
cyclodextrin binding	0.000
maltoheptaose binding	0.000
cellooligosaccharide binding	0.000
trisaccharide binding	0.000
disaccharide binding	0.000
maltose binding	0.000
lactose binding	0.000
laminaribiose binding	0.000
cellopentaose binding	0.000
cellotetraose binding	0.000
cellobiose binding	0.000
cellodextrin binding	0.000
cellotriose binding	0.000
monosaccharide binding	0.000
L-arabinofuranose binding	0.000
fructose binding	0.000
galacturonate binding	0.000
fucose binding	0.000
rhamnose binding	0.000
xylose binding	0.000
L-ascorbic acid binding	0.000
mannose binding	0.000
glucose binding	0.000
galactose binding	0.000
polyamine binding	0.000
putrescine binding	0.000
spermidine binding	0.000
toxic substance binding	0.000
lipopeptide binding	0.000
diacyl lipopeptide binding	0.000
triacyl lipopeptide binding	0.000
glycolipid binding	0.000
glycosphingolipid binding	0.000
ganglioside binding	0.000
diacylglycerol binding	0.000
xanthophyll binding	0.000
gibberellin binding	0.000
retinoid binding	0.000
3,4-didehydroretinal binding	0.000
retinol binding	0.000
retinal binding	0.000
all-trans retinal binding	0.000
11-cis retinal binding	0.000
juvenile hormone binding	0.000
triglyceride binding	0.000
GPI anchor binding	0.000
leptomycin B binding	0.000
stearic acid binding	0.000
oleic acid binding	0.000
5-hydroxy-6E,8Z,11Z,14Z-icosatetraenoic acid binding	0.000
5-oxo-6E,8Z,11Z,14Z-icosatetraenoic acid binding	0.000
icosatetraenoic acid binding	0.000
arachidonic acid binding	0.000
lysophosphatidic acid binding	0.000
lipoic acid binding	0.000
(25S)-Delta(7)-dafachronate binding	0.000
(25S)-Delta(4)-dafachronate binding	0.000
brassinosteroid binding	0.000
ecdysone binding	0.000
sterol sensor activity	0.000
oxysterol binding	0.000
lithocholic acid binding	0.000
vitamin D binding	0.000
calcidiol binding	0.000
calcitriol binding	0.000
androgen binding	0.000
diazepam binding	0.000
cocaine binding	0.000
thienylcyclohexylpiperidine binding	0.000
N-1-naphthylphthalamic acid binding	0.000
penicillin binding	0.000
phenylalkylamine binding	0.000
odorant binding	0.000
pheromone binding	0.000
MDM2/MDM4 family protein binding	0.000
toxin-antitoxin pair type II binding	0.000
scaffold protein binding	0.000
neuroligin family protein binding	0.000
hedgehog family protein binding	0.000
protein binding involved in heterotypic cell-cell adhesion	0.000
cell adhesive protein binding involved in SA cardiac muscle cell-atrial cardiac muscle cell communication	0.000
cell adhesive protein binding involved in Purkinje myocyte-ventricular cardiac muscle cell communication	0.000
cell adhesive protein binding involved in bundle of His cell-Purkinje myocyte communication	0.000
cell adhesive protein binding involved in AV node cell-bundle of His cell communication	0.000
cell adhesive protein binding involved in atrial cardiac muscle cell-AV node cell communication	0.000
connexin binding	0.000
sterol-dependent protein binding	0.000
preprotein binding	0.000
adiponectin binding	0.000
GDP-dissociation inhibitor binding	0.000
Rho GDP-dissociation inhibitor binding	0.000
N-terminal myristoylation domain binding	0.000
tapasin binding	0.000
TAP binding	0.000
TAP2 binding	0.000
TAP1 binding	0.000
R-SMAD binding	0.000
I-SMAD binding	0.000
co-SMAD binding	0.000
TRAIL binding	0.000
syndecan binding	0.000
dynein light intermediate chain binding	0.000
dynein intermediate chain binding	0.000
dynein heavy chain binding	0.000
dynein light chain binding	0.000
gamma-catenin binding	0.000
antisigma factor binding	0.000
bone sialoprotein binding	0.000
S100 protein binding	0.000
protein binding involved in protein folding	0.000
intramolecular proline-rich ligand binding	0.000
laminin-1 binding	0.000
SMC family protein binding	0.000
X11-like protein binding	0.000
actin homodimerization activity	0.000
neurexin family protein binding	0.000
apolipoprotein A-I binding	0.000
copper-dependent protein binding	0.000
Arp2/3 complex binding	0.000
fibrinogen binding	0.000
activin binding	0.000
AP-1 adaptor complex binding	0.000
inhibin complex binding	0.000
heterotrimeric G-protein binding	0.000
MutSbeta complex binding	0.000
MutLbeta complex binding	0.000
G-protein beta/gamma-subunit complex binding	0.000
immunoglobulin binding	0.000
IgD binding	0.000
IgG binding	0.000
IgE binding	0.000
IgA binding	0.000
anaphase-promoting complex binding	0.000
K11-linked polyubiquitin binding	0.000
haptoglobin binding	0.000
G-protein gamma-subunit binding	0.000
G-protein beta-subunit binding	0.000
hexon binding	0.000
eukaryotic initiation factor eIF2 binding	0.000
eukaryotic initiation factor 4G binding	0.000
denatured protein binding	0.000
Hsp27 protein binding	0.000
low molecular weight kininogen binding	0.000
high molecular weight kininogen binding	0.000
beta-2-microglobulin binding	0.000
COPII adaptor activity	0.000
anion exchanger adaptor activity	0.000
JAK pathway signal transduction adaptor activity	0.000
guanyl-nucleotide exchange factor adaptor activity	0.000
hemoglobin binding	0.000
hemoglobin beta binding	0.000
hemoglobin alpha binding	0.000
clathrin light chain binding	0.000
interleukin-35 binding	0.000
high mobility group box 1 binding	0.000
ciliary neurotrophic factor binding	0.000
granulocyte colony-stimulating factor binding	0.000
interleukin-27 binding	0.000
interleukin-26 binding	0.000
interleukin-25 binding	0.000
interleukin-24 binding	0.000
tumor necrosis factor binding	0.000
TNFSF11 binding	0.000
granulocyte macrophage colony-stimulating factor complex binding	0.000
interleukin-23 binding	0.000
interleukin-20 binding	0.000
interleukin-19 binding	0.000
interleukin-16 binding	0.000
interleukin-15 binding	0.000
interleukin-18 binding	0.000
interleukin-18 beta subunit binding	0.000
interleukin-18 alpha subunit binding	0.000
BMP binding	0.000
macrophage migration inhibitory factor binding	0.000
interleukin-21 binding	0.000
interleukin-17 binding	0.000
interleukin-14 binding	0.000
interleukin-13 binding	0.000
interleukin-12 binding	0.000
interleukin-12 alpha subunit binding	0.000
interleukin-12 beta subunit binding	0.000
type III interferon binding	0.000
type I interferon binding	0.000
chemokine binding	0.000
C-X3-C chemokine binding	0.000
C-X-C chemokine binding	0.000
interleukin-8 binding	0.000
C-C chemokine binding	0.000
chemokine (C-C motif) ligand 5 binding	0.000
chemokine (C-C motif) ligand 21 binding	0.000
chemokine (C-C motif) ligand 19 binding	0.000
chemokine (C-C motif) ligand 7 binding	0.000
chemokine (C-C motif) ligand 12 binding	0.000
chemokine (C-C motif) ligand 2 binding	0.000
MADS box domain binding	0.000
DH domain binding	0.000
L27 domain binding	0.000
ELYC domain binding	0.000
MIT domain binding	0.000
polo box domain specific binding	0.000
CRD domain binding	0.000
HMG box domain binding	0.000
CAP-Gly domain binding	0.000
RIP homotypic interaction motif binding	0.000
RING-like zinc finger domain binding	0.000
ankyrin repeat binding	0.000
SET domain binding	0.000
TIR domain binding	0.000
FHA domain binding	0.000
POU domain binding	0.000
chromo shadow domain binding	0.000
titin Z domain binding	0.000
armadillo repeat domain binding	0.000
C3HC4-type RING finger domain binding	0.000
PTB domain binding	0.000
CH domain binding	0.000
BH4 domain binding	0.000
BH2 domain binding	0.000
BH1 domain binding	0.000
RS domain binding	0.000
DBD domain binding	0.000
AF-1 domain binding	0.000
AF-2 domain binding	0.000
zf-TRAF domain binding	0.000
Rel homology domain binding	0.000
HLH domain binding	0.000
PH domain binding	0.000
kringle domain binding	0.000
GAF domain binding	0.000
death effector domain binding	0.000
Krueppel-associated box domain binding	0.000
MH1 domain binding	0.000
MH2 domain binding	0.000
FFAT motif binding	0.000
GBD domain binding	0.000
HECT domain binding	0.000
SAM domain binding	0.000
Pyrin domain binding	0.000
NACHT domain binding	0.000
LRR domain binding	0.000
leucine zipper domain binding	0.000
LIM domain binding	0.000
FH1 domain binding	0.000
DNA polymerase binding	0.000
Ral GTPase binding	0.000
nitric-oxide synthase binding	0.000
GTP cyclohydrolase binding	0.000
DNA topoisomerase binding	0.000
small protein conjugating enzyme binding	0.000
ubiquitin conjugating enzyme binding	0.000
small protein activating enzyme binding	0.000
ubiquitin activating enzyme binding	0.000
phospholipase binding	0.000
lipase binding	0.000
zymogen binding	0.000
glutamate-cysteine ligase catalytic subunit binding	0.000
acrosin binding	0.000
succinate-semialdehyde dehydrogenase binding	0.000
thioesterase binding	0.000
protein phosphatase 2B binding	0.000
phosphatidylinositol 3-kinase catalytic subunit binding	0.000
mitogen-activated protein kinase p38 binding	0.000
protein histidine kinase binding	0.000
3-phosphoinositide-dependent protein kinase binding	0.000
protein kinase B binding	0.000
mitogen-activated protein kinase kinase kinase kinase binding	0.000
mitogen-activated protein kinase kinase kinase binding	0.000
protein kinase C binding	0.000
thioglucosidase binding	0.000
adenylate cyclase binding	0.000
epidermal growth factor binding	0.000
platelet-derived growth factor binding	0.000
nerve growth factor binding	0.000
brain-derived neurotrophic factor binding	0.000
neuregulin binding	0.000
vascular endothelial growth factor binding	0.000
interleukin-9 binding	0.000
interleukin-7 binding	0.000
interleukin-6 binding	0.000
interleukin-5 binding	0.000
interleukin-4 binding	0.000
interleukin-3 binding	0.000
interleukin-2 binding	0.000
interleukin-11 binding	0.000
interleukin-10 binding	0.000
interleukin-1 binding	0.000
fibroblast growth factor binding	0.000
insulin-like growth factor binding	0.000
insulin-like growth factor II binding	0.000
insulin-like growth factor I binding	0.000
phytochrome binding	0.000
NFAT protein binding	0.000
TBP-class protein binding involved in viral suppression of host transcription initiation from RNA polymerase II promoter	0.000
telethonin binding	0.000
troponin T binding	0.000
troponin I binding	0.000
troponin C binding	0.000
kinesin-associated melanosomal adaptor activity	0.000
kinesin-associated mitochondrial adaptor activity	0.000
vinculin binding	0.000
myosin VI binding	0.000
myosin II binding	0.000
myosin heavy chain binding	0.000
myosin VI heavy chain binding	0.000
myosin II heavy chain binding	0.000
myosin tail binding	0.000
myosin XI tail binding	0.000
myosin II tail binding	0.000
myosin head/neck binding	0.000
myosin VI head/neck binding	0.000
myosin II head/neck binding	0.000
myosin light chain binding	0.000
myosin VI light chain binding	0.000
myosin II light chain binding	0.000
myosin V binding	0.000
myosin III binding	0.000
myosin I binding	0.000
myosin I heavy chain binding	0.000
myosin I tail binding	0.000
myosin I head/neck binding	0.000
myosin I light chain binding	0.000
actin lateral binding	0.000
profilin binding	0.000
collagen V binding	0.000
soluble NSF attachment protein activity	0.000
high molecular weight B cell growth factor receptor binding	0.000
glial cell line-derived neurotrophic factor receptor binding	0.000
imaginal disc growth factor receptor binding	0.000
hepatocyte growth factor receptor binding	0.000
platelet-derived growth factor receptor binding	0.000
gurken receptor binding	0.000
fibroblast growth factor receptor binding	0.000
type 2 fibroblast growth factor receptor binding	0.000
type 1 fibroblast growth factor receptor binding	0.000
high-density lipoprotein particle receptor binding	0.000
peptide hormone receptor binding	0.000
adipokinetic hormone receptor binding	0.000
gonadotropin-releasing hormone receptor binding	0.000
glucocorticoid receptor binding	0.000
cortisol receptor binding	0.000
progesterone receptor binding	0.000
mineralocorticoid receptor binding	0.000
toxin receptor binding	0.000
RAGE receptor binding	0.000
Roundabout binding	0.000
chemokine receptor antagonist activity	0.000
activin receptor antagonist activity	0.000
activin receptor antagonist activity involved in negative regulation of nodal signaling pathway	0.000
fibroblast growth factor receptor antagonist activity	0.000
death receptor agonist activity	0.000
host cell surface receptor binding	0.000
ErbB-3 class receptor binding	0.000
CD154 receptor binding	0.000
CD70 receptor binding	0.000
CD8 receptor binding	0.000
CD4 receptor binding	0.000
MHC class II protein binding	0.000
MHC class II protein binding, via antigen binding groove	0.000
MHC class II protein binding, via lateral surface	0.000
MHC class I protein binding, via lateral surface	0.000
MHC class I protein binding, via antigen binding groove	0.000
MHC class Ib protein binding	0.000
MHC class Ib protein binding, via lateral surface	0.000
MHC class Ib protein binding, via antigen binding groove	0.000
MDA-5 binding	0.000
RIG-I binding	0.000
Toll-like receptor binding	0.000
Toll-like receptor 2 binding	0.000
Toll-like receptor 4 binding	0.000
glutamate receptor binding	0.000
ionotropic glutamate receptor binding	0.000
immunoglobulin receptor binding	0.000
Fc-gamma receptor I complex binding	0.000
apolipoprotein A-I receptor binding	0.000
receptor serine/threonine kinase binding	0.000
transmembrane receptor protein serine/threonine kinase binding	0.000
BMP receptor binding	0.000
activin receptor binding	0.000
type II activin receptor binding	0.000
type I activin receptor binding	0.000
high molecular weight kininogen receptor binding	0.000
intercellular adhesion molecule-3 receptor binding	0.000
semaphorin receptor binding	0.000
benzodiazepine receptor binding	0.000
aryl hydrocarbon receptor binding	0.000
sulfonylurea receptor binding	0.000
pheromone activity	0.000
competence pheromone activity	0.000
hormone activity	0.000
growth hormone activity	0.000
digestive hormone activity	0.000
melanin-concentrating hormone activity	0.000
corticotropin-releasing hormone activity	0.000
melanocyte-stimulating hormone activity	0.000
follicle-stimulating hormone activity	0.000
growth hormone-releasing hormone activity	0.000
pituitary adenylate cyclase activating polypeptide activity	0.000
myoinhibitory hormone activity	0.000
myostimulatory hormone activity	0.000
diuretic hormone activity	0.000
thyrotropin-releasing hormone activity	0.000
neuropeptide hormone activity	0.000
prothoracicotrophic hormone activity	0.000
ecdysiostatic hormone activity	0.000
ecdysis-triggering hormone activity	0.000
eclosion hormone activity	0.000
neurohypophyseal hormone activity	0.000
gonadotropin hormone-releasing hormone activity	0.000
insulin-like growth factor receptor binding	0.000
interleukin-35 receptor binding	0.000
interleukin-27 receptor binding	0.000
interleukin-26 receptor binding	0.000
interleukin-25 receptor binding	0.000
interleukin-24 receptor binding	0.000
interleukin-23 receptor binding	0.000
interleukin-22 receptor binding	0.000
interleukin-20 receptor binding	0.000
interleukin-19 receptor binding	0.000
interleukin-18 receptor binding	0.000
interleukin-16 receptor binding	0.000
CD27 receptor binding	0.000
CD40 receptor binding	0.000
interleukin-28 receptor binding	0.000
interleukin-17E receptor binding	0.000
interleukin-17 receptor binding	0.000
interleukin-15 receptor binding	0.000
stem cell factor receptor binding	0.000
vascular endothelial growth factor receptor binding	0.000
vascular endothelial growth factor receptor 3 binding	0.000
vascular endothelial growth factor receptor 2 binding	0.000
vascular endothelial growth factor receptor 1 binding	0.000
neurotrophin receptor binding	0.000
brain-derived neurotrophic factor receptor binding	0.000
neurotrophin TRK receptor binding	0.000
neurotrophin TRKC receptor binding	0.000
neurotrophin TRKB receptor binding	0.000
neurotrophin TRKA receptor binding	0.000
neurotrophin p75 receptor binding	0.000
nerve growth factor receptor binding	0.000
type III transforming growth factor beta receptor binding	0.000
type I transforming growth factor beta receptor binding	0.000
interleukin-1 Type II receptor antagonist activity	0.000
interleukin-1 Type I receptor antagonist activity	0.000
interleukin-1, Type I receptor binding	0.000
prolactin receptor binding	0.000
oncostatin-M receptor binding	0.000
leukemia inhibitory factor receptor binding	0.000
interleukin-14 receptor binding	0.000
interleukin-13 receptor binding	0.000
interleukin-12 receptor binding	0.000
interleukin-11 receptor binding	0.000
interleukin-10 receptor binding	0.000
interleukin-9 receptor binding	0.000
interleukin-7 receptor binding	0.000
interleukin-6 receptor binding	0.000
interleukin-5 receptor binding	0.000
interleukin-4 receptor binding	0.000
interleukin-3 receptor binding	0.000
interferon-alpha/beta receptor binding	0.000
growth hormone receptor binding	0.000
granulocyte colony-stimulating factor receptor binding	0.000
granulocyte macrophage colony-stimulating factor receptor binding	0.000
erythropoietin receptor binding	0.000
ciliary neurotrophic factor receptor binding	0.000
scavenger receptor binding	0.000
torso binding	0.000
Toll binding	0.000
smoothened binding	0.000
sevenless binding	0.000
wishful thinking binding	0.000
receptor tyrosine kinase-like orphan receptor binding	0.000
patched binding	0.000
lipid antigen binding	0.000
exogenous lipid antigen binding	0.000
endogenous lipid antigen binding	0.000
MHC protein complex binding	0.000
MHC class II protein complex binding	0.000
MHC class Ib protein complex binding	0.000
MHC class I protein complex binding	0.000
centromere-specific nucleosome binding	0.000
chromatin insulator sequence binding	0.000
nucleosomal DNA binding	0.000
fluconazole transporter activity	0.000
aminotriazole transporter activity	0.000
carbonyl cyanide m-chlorophenylhydrazone transporter activity	0.000
organomercurial transporter activity	0.000
methotrexate transporter activity	0.000
amiloride transporter activity	0.000
NAD transporter activity	0.000
coenzyme transporter activity	0.000
acetyl-CoA transporter activity	0.000
biopterin transporter activity	0.000
thiamine pyrophosphate transporter activity	0.000
riboflavin transporter activity	0.000
vitamin B6 transporter activity	0.000
cobalamin transporter activity	0.000
biotin transporter activity	0.000
5-formyltetrahydrofolate transporter activity	0.000
odorant transporter activity	0.000
siderophore transporter activity	0.000
achromobactin transporter activity	0.000
chrysobactin transporter activity	0.000
enterobactin transporter activity	0.000
ferrichrome transporter activity	0.000
alkanesulfonate transporter activity	0.000
3-hydroxyphenylpropionic acid transporter activity	0.000
benzoate transporter activity	0.000
acridine transporter activity	0.000
acriflavine transporter activity	0.000
benomyl transporter activity	0.000
sulfur carrier activity	0.000
N-methylnicotinate transporter activity	0.000
nicotinate transporter activity	0.000
peptidoglycan transporter activity	0.000
lipid-linked peptidoglycan transporter activity	0.000
phytochelatin transporter activity	0.000
phytochelatin transmembrane transporter activity	0.000
peptidoglycan peptide transporter activity	0.000
lipoprotein transporter activity	0.000
glycoprotein transporter activity	0.000
membrane insertase activity	0.000
importin-alpha export receptor activity	0.000
oxygen transporter activity	0.000
abscisic acid transporter activity	0.000
retinol transporter activity	0.000
glycolipid transporter activity	0.000
glycolipid-translocating activity	0.000
fatty-acyl group transporter activity	0.000
short-chain fatty acid transporter activity	0.000
short-chain fatty acid uptake transporter activity	0.000
long-chain fatty acid transporter activity	0.000
oleate transporter activity	0.000
phosphatidic acid transporter activity	0.000
lysophospholipid transporter activity	0.000
phospholipid scramblase activity	0.000
aminophospholipid transporter activity	0.000
salt transmembrane transporter activity	0.000
tartrate transmembrane transporter activity	0.000
taurine transmembrane transporter activity	0.000
hexose phosphate transmembrane transporter activity	0.000
glucose-6-phosphate transmembrane transporter activity	0.000
poly-beta-1,6-N-acetyl-D-glucosamine transmembrane transporter activity	0.000
lipo-chitin oligosaccharide transmembrane transporter activity	0.000
acetate ester transmembrane transporter activity	0.000
auxin transmembrane transporter activity	0.000
auxin influx transmembrane transporter activity	0.000
triose-phosphate transmembrane transporter activity	0.000
FMN transmembrane transporter activity	0.000
lactone transmembrane transporter activity	0.000
beta-glucoside transmembrane transporter activity	0.000
arbutin transmembrane transporter activity	0.000
alpha-glucoside transmembrane transporter activity	0.000
oligopeptide transmembrane transporter activity	0.000
tetrapeptide transmembrane transporter activity	0.000
dipeptide transmembrane transporter activity	0.000
sulfathiazole transmembrane transporter activity	0.000
carbon dioxide transmembrane transporter activity	0.000
pyridoxine transmembrane transporter activity	0.000
pyridoxal transmembrane transporter activity	0.000
nitric oxide transmembrane transporter activity	0.000
lipopolysaccharide transmembrane transporter activity	0.000
teichoic acid transmembrane transporter activity	0.000
ISG15 carrier activity	0.000
nucleic acid transmembrane transporter activity	0.000
DNA transmembrane transporter activity	0.000
RNA transmembrane transporter activity	0.000
tRNA transmembrane transporter activity	0.000
protein-DNA complex transmembrane transporter activity	0.000
NAD transmembrane transporter activity	0.000
deoxynucleotide transmembrane transporter activity	0.000
nicotinamide mononucleotide transmembrane transporter activity	0.000
pyrimidine nucleotide transmembrane transporter activity	0.000
purine nucleotide-sugar transmembrane transporter activity	0.000
GDP-mannose transmembrane transporter activity	0.000
GDP-fucose transmembrane transporter activity	0.000
UDP-xylose transmembrane transporter activity	0.000
UDP-N-acetylgalactosamine transmembrane transporter activity	0.000
UDP-glucuronic acid transmembrane transporter activity	0.000
CMP-N-acetylneuraminate transmembrane transporter activity	0.000
pyrimidine nucleobase transmembrane transporter activity	0.000
uracil transmembrane transporter activity	0.000
cytosine transmembrane transporter activity	0.000
xanthine transmembrane transporter activity	0.000
guanine transmembrane transporter activity	0.000
adenine transmembrane transporter activity	0.000
nicotinamide riboside transmembrane transporter activity	0.000
pyrimidine nucleoside transmembrane transporter activity	0.000
uridine transmembrane transporter activity	0.000
cytidine transmembrane transporter activity	0.000
adenosine 3',5'-bisphosphate transmembrane transporter activity	0.000
xanthosine transmembrane transporter activity	0.000
salicin transmembrane transporter activity	0.000
polyol transmembrane transporter activity	0.000
propanediol transmembrane transporter activity	0.000
glycerol-3-phosphate transmembrane transporter activity	0.000
myo-inositol transmembrane transporter activity	0.000
methylgalactoside transmembrane transporter activity	0.000
N-acetylglucosamine transmembrane transporter activity	0.000
3-hydroxyphenyl propanoate transmembrane transporter activity	0.000
thiamine transmembrane transporter activity	0.000
acyl carnitine transmembrane transporter activity	0.000
polyamine transmembrane transporter activity	0.000
